product,mean,std,p5,p25,p50,p75,p95,max,top_demand_source,top_source_share
WHEAT,525.5,146.4,282,426,534,624,768,822,PIZZA_SHOP,0.189
CARROT,328.9,211.1,30,174,318,462,714,1362,PET_CAFE,0.608
TOMATO,228.5,130.6,30,138,210,318,462,750,PIZZA_SHOP,0.435
STRAWBERRY,425.6,151.4,174,318,426,534,678,822,ICE_CREAM_SHOP,0.233
MELON,30.0,0.0,30,30,30,30,30,30,TOWN_CENTER,1.000
EGG,227.7,131.3,30,138,210,318,462,786,BRUNCH_SPOT,0.435
MILK,326.9,146.5,84,228,318,426,588,822,PIZZA_SHOP,0.304
WOOL,226.8,200.4,30,30,210,354,606,1290,YARN_STORE,0.868
FERTILIZER,0.0,0.0,0,0,0,0,0,0,NONE,0.000
